-0.33282;0
-0.212007;1e+09
-0.0878512;2e+09
0.0376902;3e+09
0.162637;4e+09
0.285019;5e+09
0.402906;6e+09
0.51444;7e+09
0.61786;8e+09
0.711536;9e+09
0.79399;1e+10
0.863923;1.1e+10
0.920232;1.2e+10
0.962028;1.3e+10
0.988652;1.4e+10
0.999684;1.5e+10
0.994951;1.6e+10
0.974527;1.7e+10
0.938734;1.8e+10
0.888136;1.9e+10
0.823533;2e+10
0.745941;2.1e+10
0.656586;2.2e+10
0.556876;2.3e+10
0.448383;2.4e+10
0.33282;2.5e+10
0.212007;2.6e+10
0.0878512;2.7e+10
-0.0376902;2.8e+10
-0.162637;2.9e+10
-0.285019;3e+10
-0.402906;3.1e+10
-0.51444;3.2e+10
-0.61786;3.3e+10
-0.711536;3.4e+10
-0.79399;3.5e+10
-0.863923;3.6e+10
-0.920232;3.7e+10
-0.962028;3.8e+10
-0.988652;3.9e+10
-0.999684;4e+10
-0.994951;4.1e+10
-0.974527;4.2e+10
-0.938734;4.3e+10
-0.888136;4.4e+10
-0.823533;4.5e+10
-0.745941;4.6e+10
-0.656586;4.7e+10
-0.556876;4.8e+10
-0.448383;4.9e+10
-0.33282;5e+10
