-3.27817e-17;0
0.125333;1e+09
0.24869;2e+09
0.368125;3e+09
0.481754;4e+09
0.587785;5e+09
0.684547;6e+09
0.770513;7e+09
0.844328;8e+09
0.904827;9e+09
0.951057;1e+10
0.982287;1.1e+10
0.998027;1.2e+10
0.998027;1.3e+10
0.982287;1.4e+10
0.951057;1.5e+10
0.904827;1.6e+10
0.844328;1.7e+10
0.770513;1.8e+10
0.684547;1.9e+10
0.587785;2e+10
0.481754;2.1e+10
0.368125;2.2e+10
0.24869;2.3e+10
0.125333;2.4e+10
8.74178e-17;2.5e+10
-0.125333;2.6e+10
-0.24869;2.7e+10
-0.368125;2.8e+10
-0.481754;2.9e+10
-0.587785;3e+10
-0.684547;3.1e+10
-0.770513;3.2e+10
-0.844328;3.3e+10
-0.904827;3.4e+10
-0.951057;3.5e+10
-0.982287;3.6e+10
-0.998027;3.7e+10
-0.998027;3.8e+10
-0.982287;3.9e+10
-0.951057;4e+10
-0.904827;4.1e+10
-0.844328;4.2e+10
-0.770513;4.3e+10
-0.684547;4.4e+10
-0.587785;4.5e+10
-0.481754;4.6e+10
-0.368125;4.7e+10
-0.24869;4.8e+10
-0.125333;4.9e+10
-1.74836e-16;5e+10
